text
Unidad I Administracion y Arquitectura de los sistemas gestores de bases de datos
Unidad II Bases de datos distribuidas y Paralelas 
Unidad III Optimizacion Diseño fisico y Objetos y estructuras avanzadas
Unidad IV Gestion de Bases de datos
administracion de base de datos
Unidad I Administracion y Arquitectura de los sistemas gestores de bases de datos
Unidad II Bases de datos distribuidas y Paralelas 
Unidad III Optimizacion Diseño fisico y Objetos y estructuras avanzadas
Unidad IV Gestion de Bases de datos
administracion de base de datos
