text
Unidad I Matrices y Determinantes
Unidad II Sistemas de ecuaciones lineales
Unidad III Vectores En R^2 Y R^3
Unidad IV Espacios Vectoriales Y Productonterno
Unidad V Transformaciones linealesValores y Vectores Caracteristicos
algebra lineal
