text
Unidad I Metodos para calculo de raices defunciones
Unidad II Metodos para resolucion desistemas de ecuaciones lineales
Unidad III Interpolacion y ajuste de curvas
Unidad IV Diferenciacion e integracionnumerica
metodos numericos
