text
Unidad I Redes de nueva generacion (NGN)
Unidad II Arquitectura NGN
Unidad III Sistema multimedia IP (IMS)
Unidad IV Servicios y aplicaciones NGN
Unidad V Redes definidas por software
tecnologias para redes del futuro
