text
Unidad I Conceptos fundamentales de la gestion de proyectos
Unidad II Etapas de Gestion del Proyecto
Unidad III Planificacion de Gestion de Costo Calidad Recursos Humanos
Unidad IV Gestion de Comunicaciones y Riesgos del Proyecto
Unidad V Herramientas monitoreo de proyectos
gestion de proyectos de ti
